Date,OutMax,OutMin,InMax,InMin,Rain
2017-01-28,10.0,2.1,20.5,17.8,0.0
2017-01-27,7.7,0.9,21.2,18.5,0.0
2017-01-26,11.1,3.1,21.5,18.2,0.0
2017-01-25,14.5,2.2,21.3,17.8,0.0
2017-01-24,14.3,2.7,21.0,17.8,0.0
2017-01-23,12.1,1.3,21.4,18.2,0.0
2017-01-22,9.9,1.4,21.2,18.0,0.0
2017-01-21,9.7,1.7,21.2,18.2,0.0
2017-01-20,11.0,1.8,21.6,18.4,0.0
2017-01-19,10.8,1.2,21.3,18.0,0.0
2017-01-18,11.7,1.9,21.0,17.9,0.0
2017-01-17,9.1,0.8,21.2,17.9,0.0
2017-01-16,13.1,2.3,21.7,18.2,0.0
2017-01-15,12.3,2.1,21.7,16.7,0.0
2017-01-14,8.6,-0.1,20.3,15.9,2.1
2017-01-13,3.3,-0.6,19.5,16.5,0.3
2017-01-12,1.6,-0.7,20.0,15.6,0.0
2017-01-11,1.7,-0.6,18.2,16.2,0.0
2017-01-10,9.4,-1.5,19.0,15.8,0.0
2017-01-09,4.8,-1.3,18.9,15.9,0.0
2017-01-08,5.2,-1.8,19.3,16.7,0.0
2017-01-07,7.0,-0.3,19.8,17.8,0.0
2017-01-06,11.7,4.4,20.6,18.1,0.0
2017-01-05,12.1,2.4,20.3,17.7,0.0
2017-01-04,10.6,2.0,20.3,17.7,0.0
2017-01-03,9.6,2.5,20.0,17.8,0.0
2017-01-02,12.4,1.9,20.2,17.3,0.0
2017-01-01,11.3,0.7,19.5,17.5,0.0
2016-12-31,10.8,2.3,19.5,18.0,0.0
2016-12-30,9.6,4.5,20.4,19.4,0.0
2016-12-29,15.8,6.4,21.8,-40.0,0.0
2016-12-28,23.9,9.3,21.3,18.3,0.0
2016-12-27,15.7,5.3,20.3,18.2,0.0
2016-12-26,12.7,4.2,20.8,18.1,0.0
2016-12-25,14.0,4.0,20.6,18.3,0.0
2016-12-24,14.8,4.0,21.3,19.3,0.0
2016-12-23,11.6,5.8,21.4,18.7,0.0
2016-12-22,14.1,7.4,20.8,17.8,0.3
2016-12-21,9.0,5.5,20.9,16.5,2.1
2016-12-20,6.2,-0.1,18.7,16.5,0.3
2016-12-19,7.2,-0.7,19.5,16.7,0.0
2016-12-18,6.3,0.9,20.1,17.0,0.0
2016-12-17,6.8,2.3,20.0,16.9,0.0
2016-12-16,5.1,1.8,19.9,17.0,0.0
2016-12-15,5.0,2.5,19.8,17.2,0.0
2016-12-14,8.0,3.1,19.8,17.1,0.0
2016-12-13,6.2,2.0,19.5,17.5,0.0
2016-12-12,12.1,1.1,20.2,17.2,0.0
2016-12-11,9.3,1.0,20.3,17.4,0.3
2016-12-10,9.2,-0.5,20.3,17.8,0.0
2016-12-09,12.0,1.2,20.5,18.2,0.0
2016-12-08,12.8,2.4,20.9,18.5,0.0
2016-12-07,13.7,6.0,20.9,18.5,0.0
2016-12-06,10.6,6.3,20.4,18.6,0.0
2016-12-05,10.4,7.5,19.9,18.8,0.0
2016-12-04,11.4,7.0,20.4,19.1,0.0
2016-12-03,17.3,6.3,20.9,18.5,0.0
2016-12-02,14.8,4.8,20.4,17.8,0.0
2016-12-01,11.4,1.9,20.3,18.1,0.0
2016-11-30,11.1,5.1,20.6,19.0,0.0
2016-11-29,13.3,7.5,21.0,20.1,0.0
2016-11-28,16.9,7.2,22.5,20.9,0.0
2016-11-27,18.4,11.8,22.3,20.5,0.9
2016-11-26,14.4,13.5,21.4,20.4,6.6
2016-11-25,14.8,13.2,21.3,20.2,16.2
2016-11-24,15.1,11.7,21.1,19.5,1.2
2016-11-23,12.8,11.3,20.8,18.8,19.8
2016-11-22,11.0,8.9,20.3,18.4,24.6
2016-11-21,9.8,7.7,20.3,18.4,7.2
2016-11-20,10.3,7.9,20.1,18.3,3.0
2016-11-19,9.9,7.1,20.5,18.4,4.8
2016-11-18,9.2,6.6,20.6,18.3,0.0
2016-11-17,14.8,4.2,20.6,18.0,0.0
2016-11-16,8.6,5.7,20.5,18.4,0.0
2016-11-15,12.1,6.4,21.2,19.3,0.0
2016-11-14,13.5,7.0,21.3,19.3,0.0
2016-11-13,17.1,3.5,22.0,18.3,0.0
2016-11-12,12.1,7.0,20.8,18.5,0.3
2016-11-11,14.8,3.9,21.2,17.9,0.0
2016-11-10,11.5,3.8,20.3,18.9,0.0
2016-11-09,14.7,7.1,21.6,19.1,0.0
2016-11-08,18.4,6.3,21.2,18.9,0.3
2016-11-07,12.1,9.2,20.5,19.5,1.5
2016-11-06,11.3,9.9,20.9,20.0,19.8
2016-11-05,17.9,10.4,22.2,19.9,0.0
2016-11-04,16.9,9.5,21.7,20.2,0.0
2016-11-03,17.3,11.9,21.1,20.3,0.0
2016-11-02,17.4,9.2,21.4,19.3,0.0
2016-11-01,15.1,9.3,20.5,20.4,0.0
2016-10-31,18.3,10.3,25.8,21.1,0.0
2016-10-30,21.9,10.7,23.6,21.0,0.0
2016-10-29,21.1,12.7,22.8,21.5,0.0
2016-10-28,21.4,14.4,23.5,20.7,0.3
2016-10-27,16.9,13.7,21.3,20.3,1.5
2016-10-26,14.7,13.1,21.1,20.2,5.7
2016-10-25,14.4,11.8,21.1,20.1,3.6
2016-10-24,12.9,11.6,21.2,20.2,5.4
2016-10-23,16.9,10.9,22.0,21.2,0.0
2016-10-22,19.8,10.9,23.1,21.0,0.0
2016-10-21,20.0,11.0,22.6,21.2,0.0
2016-10-20,17.8,13.4,22.7,21.8,0.0
2016-10-19,23.4,13.5,24.5,21.8,0.0
2016-10-18,20.0,14.1,23.0,22.5,0.3
2016-10-17,22.8,12.4,25.6,20.8,0.0
2016-10-16,16.0,10.6,22.1,19.9,12.9
2016-10-15,12.4,10.1,21.7,19.3,33.9
2016-10-14,12.9,10.6,21.0,18.6,3.6
2016-10-13,20.0,7.2,21.1,18.6,0.0
2016-10-12,18.8,10.6,21.3,19.2,0.6
2016-10-11,19.4,9.7,21.3,20.0,17.7
2016-10-10,17.1,10.6,21.8,20.8,9.9
2016-10-09,21.9,12.1,23.3,21.9,0.0
2016-10-08,24.0,11.5,24.6,21.7,0.0
2016-10-07,20.8,11.8,25.6,23.0,0.0
2016-10-06,23.0,13.0,27.2,24.6,0.0
2016-10-05,26.9,14.8,28.6,24.4,0.0
2016-10-04,27.9,16.3,28.6,23.6,0.0
2016-10-03,26.6,17.6,26.0,24.5,0.9
2016-10-02,25.1,17.7,25.1,24.0,0.0
2016-10-01,27.3,18.5,28.4,25.2,0.0
2016-09-30,29.3,17.3,29.6,24.4,0.0
2016-09-29,28.6,16.9,28.6,25.0,0.0
2016-09-28,29.2,17.2,28.9,24.2,0.0
2016-09-27,28.4,16.6,29.2,25.2,0.0
2016-09-26,28.0,15.9,29.7,25.3,0.0
2016-09-25,29.2,16.5,30.2,24.2,0.0
2016-09-24,28.0,16.4,26.5,24.3,0.0
2016-09-23,25.1,16.7,27.1,23.1,0.0
2016-09-22,24.4,17.0,27.3,25.3,0.6
2016-09-21,30.3,18.5,30.5,25.2,0.0
2016-09-20,32.5,17.9,30.2,25.7,0.0
2016-09-19,27.7,16.9,28.6,25.6,0.9
2016-09-18,28.0,17.1,28.0,24.0,0.0
2016-09-17,25.9,18.6,27.6,26.1,0.0
2016-09-16,26.9,19.4,28.3,26.1,12.6
2016-09-15,34.1,22.2,30.1,27.1,0.0
2016-09-14,34.4,22.6,30.7,27.3,0.0
2016-09-13,34.4,23.2,30.8,28.0,0.0
2016-09-12,33.9,22.7,30.6,27.5,0.0
2016-09-11,34.0,22.9,30.0,27.8,0.0
2016-09-10,34.4,22.2,30.5,27.8,0.0
2016-09-09,32.8,22.5,29.3,27.2,0.0
2016-09-08,32.5,19.4,29.1,25.8,0.0
2016-09-07,31.8,20.1,29.3,26.4,0.0
2016-09-06,36.5,23.0,31.1,27.5,0.0
2016-09-05,33.1,23.7,30.6,28.1,0.0
2016-09-04,35.0,23.6,30.5,28.2,0.0
2016-09-03,35.6,23.2,30.8,28.0,0.0
2016-09-02,33.7,22.3,30.7,27.2,0.0
2016-09-01,32.4,22.1,30.4,26.9,0.0
2016-08-31,30.9,19.9,28.5,26.5,13.2
2016-08-30,37.0,23.5,31.4,27.6,0.3
2016-08-29,37.1,22.8,31.6,27.3,0.0
2016-08-28,35.0,22.3,30.1,27.8,0.0
2016-08-27,32.0,23.1,29.2,27.7,0.0
2016-08-26,32.3,22.4,29.9,28.3,0.0
2016-08-25,33.5,20.9,29.5,28.4,0.0
2016-08-24,32.2,20.3,29.0,28.1,0.0
2016-08-23,30.7,20.0,28.7,28.2,0.0
2016-08-22,33.3,21.8,28.7,28.1,0.3
2016-08-21,27.3,22.2,29.2,28.6,0.6
2016-08-20,31.9,20.8,29.7,29.1,0.0
2016-08-19,32.8,20.3,30.0,29.6,0.3
2016-08-18,35.0,21.4,30.4,29.8,0.0
2016-08-17,34.3,24.0,30.4,29.6,0.0
2016-08-16,35.2,23.1,29.9,28.6,0.0
2016-08-15,35.0,20.8,28.7,27.8,0.0
2016-08-14,31.1,19.1,28.1,27.2,0.0
2016-08-13,29.3,18.4,27.7,27.1,0.0
2016-08-12,28.5,17.0,28.0,27.7,0.0
2016-08-11,29.3,18.3,28.7,28.4,18.9
2016-08-10,32.3,22.7,29.6,28.6,0.0
2016-08-09,32.0,20.5,29.0,28.1,0.0
2016-08-08,32.6,21.3,28.4,27.2,0.0
2016-08-07,31.1,19.1,27.2,25.6,0.0
2016-08-06,26.2,19.1,27.2,26.2,19.5
2016-08-05,34.5,24.0,30.6,28.5,0.0
2016-08-04,34.3,22.4,29.8,27.2,0.0
2016-08-03,32.0,22.5,28.6,26.7,0.0
2016-08-02,31.1,20.1,28.5,26.6,0.0
2016-08-01,31.1,19.5,29.3,28.2,29.7
2016-07-31,34.5,25.2,30.6,28.5,0.0
2016-07-30,34.5,23.1,29.8,27.2,0.0
2016-07-29,33.2,19.8,28.7,26.4,0.6
2016-07-28,33.8,19.2,30.2,27.8,30.9
2016-07-27,35.6,22.9,30.4,28.2,3.3
2016-07-26,36.3,23.6,30.5,27.8,0.0
2016-07-25,33.7,21.7,29.0,27.1,0.0
2016-07-24,31.9,23.6,28.6,26.1,0.0
2016-07-23,33.7,24.5,30.3,27.9,0.0
2016-07-22,34.5,24.6,31.5,27.8,0.0
2016-07-21,36.5,25.0,31.9,29.3,0.0
2016-07-20,35.6,23.2,30.6,28.1,0.0
